Date,Symbols,Close,High,Low,Open,Volume
2021-11-01,AMZN,3318.11,3375.86,3292.02,3361.8,3608879
2021-11-01,GOOGL,2869.94,2960.92,2864.51,2960.92,2346162
2021-11-01,FB,329.98,333.45,326.0,326.04,31518885
2021-11-01,PFE,43.64,44.29,43.44,44.14,32681515
2021-11-01,BNTX,274.32,282.9,269.235,282.0,1798695
2021-11-01,MRNA,337.17,338.07,320.55,334.99,8662836
2021-10-29,AMZN,3372.43,3374.82,3273.32,3300.02,6486077
2021-10-29,GOOGL,2960.92,2964.84,2892.99,2901.56,2166015
2021-10-29,FB,323.57,325.9999,319.6,320.19,37059384
2021-10-29,PFE,43.74,43.83,42.855,43.09,30307485
2021-10-29,BNTX,278.73,284.85,273.0,283.75,1462567
2021-10-29,MRNA,345.21,347.7,337.2501,344.47,4459009
2021-10-28,AMZN,3446.57,3479.0,3386.0,3402.095,5708733
2021-10-28,GOOGL,2916.98,2943.16,2892.535,2942.69,1810319
2021-10-28,FB,316.92,325.52,308.11,312.99,50806840
2021-10-28,PFE,43.18,43.67,42.94,42.95,18023407
2021-10-28,BNTX,283.98,288.71,277.1,282.5,1468457
2021-10-28,MRNA,347.92,353.28,341.54,343.1,4738916
2021-10-27,AMZN,3392.49,3437.0,3371.4534,3388.0,2702224
2021-10-27,GOOGL,2924.35,2973.0,2788.1,2788.1,4289070
2021-10-27,FB,312.22,319.25,312.06,314.19,29971761
2021-10-27,PFE,42.97,43.5599,42.68,43.46,22317476
2021-10-27,BNTX,278.77,297.95,277.84,294.54,1914274
2021-10-27,MRNA,340.88,350.64,338.34,344.25,4716018
2021-10-26,AMZN,3376.07,3416.12,3343.98,3349.51,2698342
2021-10-26,GOOGL,2786.17,2801.6588,2766.09,2785.27,2461751
2021-10-26,FB,315.81,330.2099,309.6,328.26,65654043
2021-10-26,PFE,43.56,43.76,42.92,43.33,29729051
2021-10-26,BNTX,292.39,304.35,290.63,295.51,2272378
2021-10-26,MRNA,345.74,356.77,341.37,352.0,6673474
2021-10-25,AMZN,3320.37,3347.7997,3297.7,3335.0,2225956
2021-10-25,GOOGL,2748.94,2760.0,2708.48,2751.0,1720613
2021-10-25,FB,328.69,329.56,319.72,320.3,38408957
